index_redacao,score,c1,c2,c3,c4,c5,pred_c1,pred_c2,pred_c3,pred_c4,pred_c5,pred_total,ok,modelo,modo,ts,raw
2,200,40,40,40,40,40,80,160,120,120,160,640,1,gemini-3.8-flash,holistico,2026-09-03T20:53:01+00:00,
5,80,80,0,0,0,0,80,120,80,80,0,360,1,gemini-3.8-flash,holistico,2026-09-03T20:53:17+00:00,
6,80,80,0,0,0,0,120,120,120,120,40,520,1,gemini-3.8-flash,holistico,2026-09-03T20:53:58+00:00,
11,240,80,0,80,0,80,80,120,80,80,40,400,1,gemini-3.8-flash,holistico,2026-09-03T20:54:10+00:00,
17,320,80,80,80,0,80,40,120,80,80,40,360,1,gemini-3.8-flash,holistico,2026-09-03T20:54:48+00:00,
18,320,80,80,40,40,80,80,120,80,80,40,400,1,gemini-3.8-flash,holistico,2026-09-03T20:55:00+00:00,
20,320,80,80,40,80,40,120,160,120,120,120,640,1,gemini-3.8-flash,holistico,2026-09-03T20:55:15+00:00,
28,400,80,80,80,80,80,120,120,80,80,40,440,1,gemini-3.8-flash,holistico,2026-09-03T20:55:31+00:00,
29,400,80,120,120,80,0,40,80,80,80,0,280,1,gemini-3.8-flash,holistico,2026-09-03T20:56:14+00:00,
38,400,80,80,80,80,80,80,120,80,80,80,440,1,gemini-3.8-flash,holistico,2026-09-03T20:56:23+00:00,
42,400,80,80,80,80,80,40,80,40,40,40,240,1,gemini-3.8-flash,holistico,2026-09-03T20:56:54+00:00,
49,400,80,80,80,80,80,80,120,80,80,40,400,1,gemini-3.8-flash,holistico,2026-09-03T20:57:07+00:00,
50,400,80,80,80,80,80,120,160,120,120,120,640,1,gemini-3.8-flash,holistico,2026-09-03T20:57:34+00:00,
79,680,80,120,120,160,200,120,120,120,120,120,600,1,gemini-3.8-flash,holistico,2026-09-03T20:53:03+00:00,
80,680,80,120,120,160,200,80,120,120,80,120,520,1,gemini-3.8-flash,holistico,2026-09-03T20:53:23+00:00,
83,240,120,40,40,40,0,80,80,40,40,0,240,1,gemini-3.8-flash,holistico,2026-09-03T20:53:34+00:00,
84,240,120,40,40,40,0,80,120,80,80,40,400,1,gemini-3.8-flash,holistico,2026-09-03T20:53:57+00:00,
86,280,120,80,0,0,80,120,120,120,120,80,560,1,gemini-3.8-flash,holistico,2026-09-03T20:54:00+00:00,
88,360,120,80,40,80,40,80,120,80,80,40,400,1,gemini-3.8-flash,holistico,2026-09-03T20:54:40+00:00,
94,360,120,80,40,80,40,80,120,80,80,80,440,1,gemini-3.8-flash,holistico,2026-09-03T20:55:35+00:00,
97,400,120,120,80,0,80,120,120,80,80,40,440,1,gemini-3.8-flash,holistico,2026-09-03T20:55:47+00:00,
108,400,120,80,80,80,40,80,120,80,80,0,360,1,gemini-3.8-flash,holistico,2026-09-03T20:56:59+00:00,
112,400,120,80,80,80,40,80,80,80,80,0,320,1,gemini-3.8-flash,holistico,2026-09-03T20:57:12+00:00,
113,400,120,40,80,80,80,80,120,80,80,40,400,1,gemini-3.8-flash,holistico,2026-09-03T20:57:29+00:00,
114,400,120,80,80,80,40,80,120,120,120,80,520,1,gemini-3.8-flash,holistico,2026-09-03T20:58:15+00:00,
165,480,120,80,80,120,80,80,120,80,80,40,400,1,gemini-3.8-flash,holistico,2026-09-03T20:53:01+00:00,
169,480,120,120,80,80,80,40,80,80,40,120,360,1,gemini-3.8-flash,holistico,2026-09-03T20:53:16+00:00,
172,480,120,120,80,80,80,80,120,80,80,40,400,1,gemini-3.8-flash,holistico,2026-09-03T20:53:26+00:00,
175,480,120,80,80,120,80,80,120,80,80,80,440,1,gemini-3.8-flash,holistico,2026-09-03T20:53:37+00:00,
177,480,120,80,80,120,80,80,120,120,120,120,560,1,gemini-3.8-flash,holistico,2026-09-03T20:54:44+00:00,
178,480,120,120,80,120,40,120,120,80,120,40,480,1,gemini-3.8-flash,holistico,2026-09-03T20:55:04+00:00,
180,480,120,80,80,120,80,80,120,80,80,80,440,1,gemini-3.8-flash,holistico,2026-09-03T20:55:40+00:00,
186,480,120,120,80,120,40,80,120,80,80,80,440,1,gemini-3.8-flash,holistico,2026-09-03T20:56:22+00:00,
190,480,120,120,80,120,40,40,80,80,80,80,360,1,gemini-3.8-flash,holistico,2026-09-03T20:56:35+00:00,
195,480,120,120,80,120,40,80,120,80,80,80,440,1,gemini-3.8-flash,holistico,2026-09-03T20:57:13+00:00,
200,520,120,120,80,120,80,120,120,120,120,80,560,1,gemini-3.8-flash,holistico,2026-09-03T20:57:57+00:00,
206,520,120,120,80,80,120,80,120,120,120,80,520,1,gemini-3.8-flash,holistico,2026-09-03T20:58:05+00:00,
209,520,120,120,80,120,80,80,160,120,120,120,600,1,gemini-3.8-flash,holistico,2026-09-03T20:58:20+00:00,
225,520,120,120,120,120,40,120,120,120,120,40,520,1,gemini-3.8-flash,holistico,2026-09-03T20:53:03+00:00,
228,520,120,120,80,120,80,80,120,120,120,120,560,1,gemini-3.8-flash,holistico,2026-09-03T20:53:22+00:00,
230,520,120,120,80,120,80,120,160,120,120,160,680,1,gemini-3.8-flash,holistico,2026-09-03T20:53:33+00:00,
232,520,120,120,80,120,80,120,120,120,120,80,560,1,gemini-3.8-flash,holistico,2026-09-03T20:53:45+00:00,
235,520,120,120,80,120,80,40,80,80,80,40,320,1,gemini-3.8-flash,holistico,2026-09-03T20:54:02+00:00,
240,520,120,120,80,120,80,120,120,120,120,80,560,1,gemini-3.8-flash,holistico,2026-09-03T20:54:12+00:00,
248,520,120,120,80,120,80,120,160,120,160,160,720,1,gemini-3.8-flash,holistico,2026-09-03T20:54:23+00:00,
256,520,120,120,80,120,80,120,160,120,120,120,640,1,gemini-3.8-flash,holistico,2026-09-03T20:54:48+00:00,
267,560,120,120,120,120,80,120,120,120,120,120,600,1,gemini-3.8-flash,holistico,2026-09-03T20:55:14+00:00,
268,560,120,120,120,120,80,80,120,80,80,80,440,1,gemini-3.8-flash,holistico,2026-09-03T20:55:41+00:00,
273,560,120,160,120,160,0,120,160,120,120,160,680,1,gemini-3.8-flash,holistico,2026-09-03T20:55:59+00:00,
278,560,120,80,120,120,120,120,120,120,120,120,600,1,gemini-3.8-flash,holistico,2026-09-03T20:56:16+00:00,
281,560,120,160,120,120,40,120,160,120,160,120,680,1,gemini-3.8-flash,holistico,2026-09-03T20:56:28+00:00,
283,560,120,120,120,120,80,120,160,120,120,120,640,1,gemini-3.8-flash,holistico,2026-09-03T20:56:39+00:00,
284,560,120,120,120,120,80,80,120,80,80,40,400,1,gemini-3.8-flash,holistico,2026-09-03T20:56:52+00:00,
317,600,120,120,120,120,120,80,120,120,80,80,480,1,gemini-3.8-flash,holistico,2026-09-03T20:53:03+00:00,
319,600,120,120,120,120,120,120,160,120,120,80,600,1,gemini-3.8-flash,holistico,2026-09-03T20:53:11+00:00,
321,600,120,120,120,120,120,160,160,120,160,40,640,1,gemini-3.8-flash,holistico,2026-09-03T20:53:23+00:00,
322,600,120,120,120,120,120,120,160,120,120,40,560,1,gemini-3.8-flash,holistico,2026-09-03T20:53:37+00:00,
325,600,120,120,120,120,120,120,160,120,120,40,560,1,gemini-3.8-flash,holistico,2026-09-03T20:53:49+00:00,
328,600,120,160,80,160,80,160,160,160,160,80,720,1,gemini-3.8-flash,holistico,2026-09-03T20:54:16+00:00,
330,600,120,120,120,120,120,80,160,120,120,120,600,1,gemini-3.8-flash,holistico,2026-09-03T20:54:31+00:00,
