index_redacao,score,c1,c2,c3,c4,c5,pred_c1,pred_c2,pred_c3,pred_c4,pred_c5,pred_total,ok,modelo,modo,ts,raw
2,200,40,40,40,40,40,120,160,120,120,160,680,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:07:23+00:00,""
5,80,80,0,0,0,0,120,120,80,120,0,440,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:07:27+00:00,""
6,80,80,0,0,0,0,120,120,120,120,0,480,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:07:31+00:00,""
11,240,80,0,80,0,80,80,120,80,80,120,480,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:07:35+00:00,""
17,320,80,80,80,0,80,40,80,40,80,0,240,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:07:39+00:00,""
18,320,80,80,40,40,80,80,120,80,80,0,360,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:07:43+00:00,""
20,320,80,80,40,80,40,120,160,120,120,120,640,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:07:47+00:00,""
28,400,80,80,80,80,80,120,80,80,80,40,400,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:07:51+00:00,""
29,400,80,120,120,80,0,40,80,80,80,0,280,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:08:06+00:00,""
38,400,80,80,80,80,80,120,120,80,120,120,560,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:08:07+00:00,""
42,400,80,80,80,80,80,40,80,40,40,0,200,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:08:21+00:00,""
49,400,80,80,80,80,80,80,120,80,80,120,480,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:08:22+00:00,""
50,400,80,80,80,80,80,120,120,120,120,120,600,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:08:30+00:00,""
54,440,80,120,80,80,80,80,120,80,120,120,520,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:08:36+00:00,""
57,440,80,120,80,80,80,120,120,120,120,0,480,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:08:37+00:00,""
61,480,80,120,80,80,120,120,120,120,120,120,600,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:08:41+00:00,""
65,480,80,80,120,120,80,80,80,80,80,120,440,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:08:53+00:00,""
66,520,80,120,80,120,120,80,120,80,80,40,400,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:08:59+00:00,""
72,520,80,120,120,80,120,120,120,120,120,160,640,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:08+00:00,""
75,560,80,120,120,160,80,40,40,40,40,0,160,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:09+00:00,""
79,680,80,120,120,160,200,120,120,80,120,120,560,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:13+00:00,""
80,680,80,120,120,160,200,80,120,80,80,120,480,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:21+00:00,""
83,240,120,40,40,40,0,40,40,40,40,0,160,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:22+00:00,""
84,240,120,40,40,40,0,80,80,40,80,40,320,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:29+00:00,""
86,280,120,80,0,0,80,120,120,80,120,0,440,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:30+00:00,""
88,360,120,80,40,80,40,120,120,120,120,40,520,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:38+00:00,""
94,360,120,80,40,80,40,80,120,80,80,120,480,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:39+00:00,""
97,400,120,120,80,0,80,80,80,40,80,0,280,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:43+00:00,""
108,400,120,80,80,80,40,80,80,80,80,0,320,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:50+00:00,""
112,400,120,80,80,80,40,80,80,40,80,0,280,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:51+00:00,""
113,400,120,40,80,80,80,80,80,80,80,40,360,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:55+00:00,""
114,400,120,80,80,80,40,120,120,80,80,120,520,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:09:59+00:00,""
117,440,120,80,80,80,80,120,160,120,120,160,680,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:03+00:00,""
119,440,120,80,80,80,80,120,120,80,120,0,440,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:10+00:00,""
121,440,120,120,80,0,120,80,120,80,80,120,480,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:11+00:00,""
127,440,120,120,80,80,40,120,120,120,120,120,600,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:15+00:00,""
150,440,120,80,80,120,40,120,120,80,80,120,520,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:21+00:00,""
151,480,120,120,80,80,80,80,80,80,80,0,320,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:23+00:00,""
161,480,120,80,80,120,80,80,80,80,80,40,360,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:28+00:00,""
164,480,120,120,80,80,80,120,120,120,120,40,520,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:42+00:00,""
165,480,120,80,80,120,80,80,120,80,80,0,360,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:43+00:00,""
169,480,120,120,80,80,80,80,80,80,80,120,440,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:50+00:00,""
172,480,120,120,80,80,80,80,120,80,80,40,400,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:10:51+00:00,""
175,480,120,80,80,120,80,80,120,80,80,120,480,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:02+00:00,""
177,480,120,80,80,120,80,120,120,120,120,120,600,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:03+00:00,""
178,480,120,120,80,120,40,80,120,80,80,0,360,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:07+00:00,""
180,480,120,80,80,120,80,80,80,80,80,120,440,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:11+00:00,""
186,480,120,120,80,120,40,80,80,80,80,40,360,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:15+00:00,""
190,480,120,120,80,120,40,80,80,80,80,120,440,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:19+00:00,""
195,480,120,120,80,120,40,40,80,40,80,80,320,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:23+00:00,""
200,520,120,120,80,120,80,120,120,120,120,120,600,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:28+00:00,""
206,520,120,120,80,80,120,120,120,120,120,120,600,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:31+00:00,""
209,520,120,120,80,120,80,120,120,120,120,160,640,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:36+00:00,""
210,520,120,80,80,120,120,120,120,120,120,160,640,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:39+00:00,""
211,520,120,120,80,120,80,120,120,120,120,120,600,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:44+00:00,""
213,520,120,120,80,80,120,80,120,80,80,120,480,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:47+00:00,""
216,520,120,120,80,120,80,80,120,80,80,120,480,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:51+00:00,""
221,520,120,80,120,120,80,80,120,80,80,40,400,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:11:55+00:00,""
222,520,120,120,80,120,80,120,120,120,120,120,600,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:12:07+00:00,""
223,520,120,120,80,120,80,80,80,80,80,120,440,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:12:09+00:00,""
225,520,120,120,120,120,40,120,120,80,120,120,560,1,gemini-3.5-flash-lite,holistico,2026-09-03T03:12:15+00:00,""
