index_redacao,score,c1,c2,c3,c4,c5,pred_c1,pred_c2,pred_c3,pred_c4,pred_c5,pred_total,ok,modelo,modo,ts,raw
2,200,40,40,40,40,40,80,120,80,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:05:19+00:00,
5,80,80,0,0,0,0,40,40,40,40,0,160,1,openai/gpt-oss-120b,holistico,2026-09-03T20:05:49+00:00,
6,80,80,0,0,0,0,80,120,80,80,40,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:06:20+00:00,
11,240,80,0,80,0,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:06:49+00:00,
17,320,80,80,80,0,80,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:07:19+00:00,
18,320,80,80,40,40,80,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:07:49+00:00,
20,320,80,80,40,80,40,40,40,80,40,40,240,1,openai/gpt-oss-120b,holistico,2026-09-03T20:08:20+00:00,
28,400,80,80,80,80,80,40,40,40,40,40,200,1,openai/gpt-oss-120b,holistico,2026-09-03T20:08:49+00:00,
29,400,80,120,120,80,0,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:09:20+00:00,
38,400,80,80,80,80,80,40,40,40,40,40,200,1,openai/gpt-oss-120b,holistico,2026-09-03T20:09:49+00:00,
42,400,80,80,80,80,80,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:10:19+00:00,
49,400,80,80,80,80,80,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:10:49+00:00,
50,400,80,80,80,80,80,80,80,120,80,120,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:11:20+00:00,
54,440,80,120,80,80,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:11:49+00:00,
57,440,80,120,80,80,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:12:19+00:00,
61,480,80,120,80,80,120,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:12:50+00:00,
65,480,80,80,120,120,80,40,40,80,40,40,240,1,openai/gpt-oss-120b,holistico,2026-09-03T20:13:19+00:00,
66,520,80,120,80,120,120,80,120,80,80,40,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:13:50+00:00,
72,520,80,120,120,80,120,80,80,80,80,80,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:14:19+00:00,
75,560,80,120,120,160,80,40,40,80,40,40,240,1,openai/gpt-oss-120b,holistico,2026-09-03T20:14:49+00:00,
79,680,80,120,120,160,200,80,80,80,80,80,400,1,openai/gpt-oss-120b,holistico,2026-09-03T20:15:20+00:00,
80,680,80,120,120,160,200,40,80,80,40,80,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:15:49+00:00,
83,240,120,40,40,40,0,40,40,40,40,40,200,1,openai/gpt-oss-120b,holistico,2026-09-03T20:16:20+00:00,
84,240,120,40,40,40,0,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:16:49+00:00,
86,280,120,80,0,0,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:17:19+00:00,
88,360,120,80,40,80,40,80,120,120,80,80,480,1,openai/gpt-oss-120b,holistico,2026-09-03T20:17:50+00:00,
94,360,120,80,40,80,40,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:18:20+00:00,
97,400,120,120,80,0,80,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:18:49+00:00,
108,400,120,80,80,80,40,40,40,40,40,40,200,1,openai/gpt-oss-120b,holistico,2026-09-03T20:19:19+00:00,
112,400,120,80,80,80,40,80,80,80,40,0,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:19:49+00:00,
113,400,120,40,80,80,80,40,40,40,40,0,160,1,openai/gpt-oss-120b,holistico,2026-09-03T20:20:20+00:00,
114,400,120,80,80,80,40,80,80,80,40,40,320,1,openai/gpt-oss-120b,holistico,2026-09-03T20:20:49+00:00,
117,440,120,80,80,80,80,80,120,120,80,120,520,1,openai/gpt-oss-120b,holistico,2026-09-03T20:21:19+00:00,
119,440,120,80,80,80,80,40,40,40,40,40,200,1,openai/gpt-oss-120b,holistico,2026-09-03T20:21:49+00:00,
121,440,120,120,80,0,120,40,80,80,40,40,280,1,openai/gpt-oss-120b,holistico,2026-09-03T20:22:19+00:00,
