calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.3476843709578695,125.66898685228152,161.8357086586922,0.3739660605651947,0.3752324349161534,0.3062645011600928,16.589327146171694
bruto,oraculo,0.3476843709578695,125.66898685228152,161.8357086586922,0.3739660605651947,0.3752324349161534,0.3062645011600928,16.589327146171694
vies,out-of-fold,0.32825251590065274,127.90935217058792,162.49454275886708,0.36014742162683666,0.353652474656948,0.29389017788089716,-1.213127001447355
vies,oraculo,0.34914566945846826,126.5746487870615,160.98320043376697,0.3739660605651947,0.3752324349161534,0.30935808197989173,-6.189909803249628e-14
afim,out-of-fold,0.21923165662130772,123.83315388120187,154.85673680095803,0.3399541681882011,0.33891813878164556,0.29156999226604796,-1.3363835265826616
afim,oraculo,0.24078886725206738,121.76561407889432,152.6071208155251,0.3739660605651949,0.3752324349161534,0.28692962103634956,8.103154651526785e-13
hist,out-of-fold,0.36148890543034473,143.96751740139212,185.67179085987644,0.3653826860763528,0.36849500999890666,0.2791956689868523,24.013921113689094
hist,oraculo,0.3655149647462993,141.84068058778035,183.5661181198146,0.37089069512800504,0.3757591218347966,0.2822892498066512,27.192575406032482
isotonica,out-of-fold,0.24267290022871701,123.55439141909291,154.8833468065002,0.3417086262300518,0.32801611724396895,0.2923433874709977,-1.1091508625942215
isotonica,oraculo,0.2610290304436079,120.40929130551511,151.3902417380803,0.39180795237539806,0.38892264911609153,0.2962103634957463,1.1254381460453869e-14
