calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.2512605560780292,201.35697764070932,239.53050969186776,0.43977236575948875,0.43183305247142506,0.16037008481110254,-178.93600616808018
bruto,oraculo,0.2512605560780292,201.35697764070932,239.53050969186776,0.43977236575948875,0.43183305247142506,0.16037008481110254,-178.93600616808018
vies,out-of-fold,0.4231285336377768,125.58335125153285,159.31871739560145,0.43551501074487925,0.39833589374695466,0.2945258288357749,-1.6302034341343636
vies,oraculo,0.4378611971355172,124.40444677207172,158.1087112371541,0.44553307035503015,0.43183305247142506,0.3006939090208173,-0.2759229085089647
afim,out-of-fold,0.3069513965296652,120.08049743831472,149.8891648970959,0.4143455694317141,0.3856813399792991,0.31148804934464147,-1.7504347218617262
afim,oraculo,0.3225409660897749,118.00380709734448,147.85525776920744,0.43977236575948847,0.43183305247142506,0.31765612952968386,-3.7024919239483895e-13
hist,out-of-fold,0.4394585846319269,139.12104857363147,176.47276519134363,0.4467739035534396,0.4058834203667826,0.26060138781804165,30.13107170393215
hist,oraculo,0.4500589453687308,136.90053970701618,174.32057778595708,0.455967171858849,0.4329013463713162,0.2636854279105628,26.73862760215883
isotonica,out-of-fold,0.34926307142835,118.5827599646407,147.06051945886875,0.45098533023953535,0.372879311788447,0.29298380878951424,-1.3341421179163782
isotonica,oraculo,0.3814793806611133,115.50411629428301,143.66760721715596,0.4883060436348315,0.4388111742902705,0.32228218966846567,1.1219672496813301e-14
