calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.20593257105132545,147.74094063222822,183.95886369301672,0.22730352185619843,0.20405339535830447,0.2544333076329992,-41.71164225134927
bruto,oraculo,0.20593257105132545,147.74094063222822,183.95886369301672,0.22730352185619843,0.20405339535830447,0.2544333076329992,-41.71164225134927
vies,out-of-fold,0.21467723935892125,144.45644525065197,180.5340391446967,0.21355376979142623,-0.05257083479495852,0.23747108712413262,-1.4541147961077827
vies,oraculo,0.21467723935892125,142.877252469818,179.16752616454065,0.22730352185619826,0.20405339535830447,0.23747108712413262,3.3659017490439904e-14
afim,out-of-fold,0.056350852618719416,131.78347304770847,162.60959550126847,0.1681415735353324,-0.05685367370261001,0.2629144178874325,-1.826322327396611
afim,oraculo,0.09081427804133302,129.80751342957655,160.3201272329392,0.22730352185619823,0.20405339535830447,0.28296067848882034,-3.3602919127955837e-12
hist,out-of-fold,0.10381425365695873,286.20663068619893,328.6374055597998,0.1999560881207782,0.03807999620431022,0.07170393215111796,239.31380107941402
hist,oraculo,0.10631235038390685,292.8296067848882,333.6949978357041,0.21231230566840895,0.2027879724629188,0.058596761757902856,248.1727062451812
isotonica,out-of-fold,0.06321905186988286,131.85546530673417,162.60543553965252,0.17305015648642924,-0.05949532492843911,0.26137239784117194,-1.7505527149116717
isotonica,oraculo,0.10131475782548038,129.2717924151432,159.77283967156595,0.2411027200210717,0.21522254333704555,0.28758673862760215,-3.9268853738846554e-14
