calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.046728848531902956,312.73708558211257,353.585009991474,0.16229754843026933,0.16173521345302758,0.07016191210485737,-302.43639167309175
bruto,oraculo,0.046728848531902956,312.73708558211257,353.585009991474,0.16229754843026933,0.16173521345302758,0.07016191210485737,-302.43639167309175
vies,out-of-fold,0.12560906229282287,148.17929501054232,184.51991543634443,0.14746971869017764,0.14148689465826272,0.24286815728604472,-1.4359839458508494
vies,oraculo,0.1455080067724428,146.88054813640872,183.15916763640783,0.1622312920191105,0.16173521345302758,0.26137239784117194,-0.017298682862833058
afim,out-of-fold,0.02286707292440049,134.26642661331593,164.97866626738954,0.07171247656525334,0.06636801402559252,0.25751734772552043,-1.5342129841472458
afim,oraculo,0.06094034012276217,131.79697647576614,162.44679462042066,0.1622975484302693,0.16173521345302758,0.2690824980724749,-1.2902623371335295e-13
hist,out-of-fold,0.1681104500814241,166.96993060909793,210.75478411776888,0.16991454425305483,0.14919239361700318,0.2382420971472629,23.43870470316114
hist,oraculo,0.1758606437635194,164.44101773323052,208.8378829915632,0.17804542791521225,0.16345051411868156,0.24749421742482652,24.79568234387047
isotonica,out-of-fold,0.06126633936971815,132.5364966838095,163.49292284970937,0.14226950303498062,0.08697772970248435,0.2629144178874325,-1.7399803968813286
isotonica,oraculo,0.0922334400380832,129.6813229835396,160.5208037803182,0.22201644669902837,0.20516723451410246,0.2690824980724749,2.8049181242033254e-14
