calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.47273681891085895,131.46666666666667,169.3280839081338,0.5480720167088955,0.5642363931919558,0.2833333333333333,-81.06666666666666
bruto,oraculo,0.47273681891085895,131.46666666666667,169.3280839081338,0.5480720167088955,0.5642363931919558,0.2833333333333333,-81.06666666666666
vies,out-of-fold,0.537288226543565,113.23787848701853,150.50814504482378,0.5352071815374998,0.540544795429885,0.37,-1.4280056789008448
vies,oraculo,0.537288226543565,111.17688888888887,148.5687442329744,0.547922130165574,0.5642363931919558,0.37,-0.1368888888889463
afim,out-of-fold,0.4299141923808356,111.19996357188016,143.87662626183615,0.5244030316093057,0.5395550494283842,0.33,-1.789310659468847
afim,oraculo,0.45669307183054186,108.56405670575386,141.27301997152884,0.548072016708895,0.5642363931919558,0.34,-4.971904369692007e-13
hist,out-of-fold,0.5390177819656223,124.26666666666667,163.72334388636622,0.5450501234761405,0.5562139681708388,0.31,25.333333333333332
hist,oraculo,0.5413576873398561,123.33333333333333,162.59561289694545,0.5502674126233561,0.5648507468217477,0.31333333333333335,30.533333333333335
isotonica,out-of-fold,0.41714522975768165,112.65499778946857,146.9120086933888,0.4985961434716433,0.5063876238575512,0.34,-1.4503533837558522
isotonica,oraculo,0.481638788535136,106.56326100972643,139.03138434251613,0.5678107066216446,0.5676538678066643,0.37333333333333335,-1.2126596023639044e-14
