calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.5343653780867614,128.99328859060404,168.57874108649858,0.6010015419798924,0.6273174108471347,0.3221476510067114,-81.74496644295301
bruto,oraculo,0.5343653780867614,128.99328859060404,168.57874108649858,0.6010015419798924,0.6273174108471347,0.3221476510067114,-81.74496644295301
vies,out-of-fold,0.5995772956486161,113.26523422453275,149.125526736373,0.5907601549072553,0.6117798054006346,0.35570469798657717,-1.4370185634528228
vies,oraculo,0.5995772956486161,111.62605288050088,147.37536399430095,0.6006013538130096,0.6273174108471347,0.35570469798657717,-0.14008378000992847
afim,out-of-fold,0.5167771388960968,105.96617214469917,137.98507640202254,0.5804919827699411,0.6108855510778797,0.348993288590604,-1.6962063513712944
afim,oraculo,0.5293150514098861,103.78393610020672,135.38222858744794,0.6010015419798925,0.6273174108471347,0.35906040268456374,-4.272793900946643e-14
hist,out-of-fold,0.5834613974649372,120.80536912751678,157.25839037164877,0.5875798881351721,0.6141073710338091,0.28523489932885904,19.86577181208054
hist,oraculo,0.5874428294932013,118.65771812080537,155.30009918016512,0.5939294041284975,0.6246647391149529,0.3221476510067114,25.23489932885906
isotonica,out-of-fold,0.5316664831898545,105.89170902410889,138.8050173951026,0.5756380325795943,0.5757810730909492,0.3926174496644295,-1.9400654761833378
isotonica,oraculo,0.5600121127611021,100.37303356039311,131.85127927579495,0.627765629737278,0.6328281105225267,0.4161073825503356,6.103991287066632e-15
