calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.5377144330402137,124.98054474708171,162.1067525484052,0.6039388695066973,0.597850494954478,0.30739299610894943,-78.91050583657588
bruto,oraculo,0.5377144330402137,124.98054474708171,162.1067525484052,0.6039388695066973,0.597850494954478,0.30739299610894943,-78.91050583657588
vies,out-of-fold,0.6038481141082361,107.36267468526877,142.86845327161475,0.5971374856238063,0.5895152026606326,0.377431906614786,-0.2649628724206096
vies,oraculo,0.6038481141082361,106.43491952944025,141.6041358520492,0.6039388695066973,0.597850494954478,0.377431906614786,2.4772229231169252e-14
afim,out-of-fold,0.5108102678666835,100.84592086379946,128.27610366796867,0.5828817724375714,0.5831717009578101,0.35019455252918286,-0.3510751187907131
afim,oraculo,0.5278879786664079,99.0515240684969,125.78438946104276,0.6039388695066975,0.597850494954478,0.35797665369649806,1.4155559560668144e-13
hist,out-of-fold,0.5935754270406253,109.0272373540856,143.38324471085605,0.5964330790061378,0.5868886261198687,0.40077821011673154,17.042801556420233
hist,oraculo,0.6034059805343561,105.99221789883268,141.03563586433603,0.6063948119336334,0.5948587383073012,0.3968871595330739,15.719844357976653
isotonica,out-of-fold,0.5163616026821998,102.67088272847721,129.78410761398868,0.5723199059347139,0.5566684155220394,0.35797665369649806,-1.319409283867444
isotonica,oraculo,0.5659966225418096,96.40330040035475,122.17501273878315,0.6329901028320322,0.6096432760138859,0.3852140077821012,7.077779780334072e-15
