calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.5910782852007679,113.64864864864865,152.97058540778355,0.6048712363014815,0.6261121070825191,0.38513513513513514,-36.08108108108108
bruto,oraculo,0.5910782852007679,113.64864864864865,152.97058540778355,0.6048712363014815,0.6261121070825191,0.38513513513513514,-36.08108108108108
vies,out-of-fold,0.6046723602078926,112.85575290885882,150.01957179641474,0.5968605579809109,0.6141829880813147,0.3277027027027027,-1.1618245030539878
vies,oraculo,0.6046723602078926,111.6983199415632,148.65448391495107,0.6048712363014813,0.6261121070825191,0.3277027027027027,-4.301664130007093e-14
afim,out-of-fold,0.5187651696742195,103.62690311700344,136.29857096699405,0.5855519254615955,0.6135753969235066,0.36824324324324326,-1.6521003400884293
afim,oraculo,0.5273881908878523,101.43954449628123,133.8490239346507,0.6048712363014817,0.6261121070825191,0.34797297297297297,1.229046894287741e-14
hist,out-of-fold,0.5851774208005098,119.5945945945946,156.01455233580148,0.5891044052662381,0.6107070858696637,0.3108108108108108,19.054054054054053
hist,oraculo,0.5991925490666348,116.48648648648648,153.09421229373055,0.6018185805131221,0.6247652860343761,0.3344594594594595,15.135135135135135
isotonica,out-of-fold,0.49424304061446733,108.08407713159015,141.6304635102362,0.5457288824899498,0.5628856509169814,0.3581081081081081,-1.8643553506606536
isotonica,oraculo,0.5623398929806147,100.2742279581716,131.59600559226524,0.6221234592446208,0.6300131337063865,0.375,-9.217851707158057e-15
