calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.23128524066129652,235.33333333333334,267.1029763967448,0.5529553605433609,0.5632760747674764,0.09333333333333334,-226.0
bruto,oraculo,0.23128524066129652,235.33333333333334,267.1029763967448,0.5529553605433609,0.5632760747674764,0.09333333333333334,-226.0
vies,out-of-fold,0.495523314414389,115.04608221320814,143.7359973292216,0.5419567386215142,0.5297832643590403,0.31666666666666665,-0.9471094225482011
vies,oraculo,0.5119421741998836,113.86666666666666,142.36572621245605,0.5529553605433608,0.5632760747674764,0.3233333333333333,0.0
afim,out-of-fold,0.4544321637016481,114.57167683883968,142.91184241108996,0.5334308205755576,0.5223427732346679,0.31333333333333335,-0.8496852114574237
afim,oraculo,0.46714880459517205,112.65660747170381,140.72911743260795,0.5529553605433613,0.5632760747674764,0.3233333333333333,1.0913936421275138e-13
hist,out-of-fold,0.5281736119495359,134.53333333333333,169.1862878604528,0.546558296078287,0.5360934055510558,0.25666666666666665,44.93333333333333
hist,oraculo,0.5323058898839899,130.8,165.93974810153233,0.5556859680559901,0.5520658340824621,0.2733333333333333,49.733333333333334
isotonica,out-of-fold,0.4978606211171007,111.31935128197081,139.13191480210156,0.5681110841119131,0.49962808975174583,0.31,-0.38760597256784723
isotonica,oraculo,0.5306540968492421,107.41448332265745,134.12569049829443,0.6077686279198209,0.5725511370793153,0.3233333333333333,-6.063298011819522e-15
