index_redacao,score,pred_total
0,200,640.0
1,200,240.0
2,200,360.0
3,240,240.0
4,520,360.0
5,80,440.0
6,80,360.0
7,120,400.0
8,160,480.0
9,160,520.0
10,240,440.0
11,240,360.0
12,240,240.0
13,240,440.0
14,240,360.0
15,280,360.0
16,280,280.0
17,320,280.0
18,320,280.0
19,320,200.0
20,320,360.0
21,320,360.0
22,320,440.0
23,320,360.0
24,320,560.0
25,320,360.0
26,360,360.0
27,360,360.0
28,400,400.0
29,400,200.0
30,400,560.0
31,400,480.0
32,400,360.0
33,400,640.0
34,400,400.0
35,400,400.0
36,400,360.0
37,400,400.0
38,400,440.0
39,400,400.0
40,400,440.0
41,400,400.0
42,400,200.0
43,400,600.0
44,400,400.0
45,400,360.0
46,400,320.0
47,400,440.0
48,400,400.0
49,400,
50,400,440.0
51,440,600.0
52,440,480.0
53,440,360.0
54,440,480.0
55,440,480.0
56,440,280.0
57,440,400.0
58,480,520.0
59,480,360.0
60,480,480.0
61,480,360.0
62,480,480.0
63,480,440.0
64,480,360.0
65,480,280.0
66,520,440.0
67,520,360.0
68,520,360.0
69,520,480.0
70,520,360.0
71,520,200.0
72,520,480.0
73,560,440.0
74,560,360.0
75,560,240.0
76,560,480.0
77,600,480.0
78,600,480.0
79,680,440.0
80,680,400.0
81,200,280.0
82,200,360.0
83,240,200.0
84,240,360.0
85,240,400.0
86,280,400.0
87,280,320.0
88,360,360.0
89,360,360.0
90,360,600.0
91,360,360.0
92,360,440.0
93,360,400.0
94,360,480.0
95,360,200.0
96,360,440.0
97,400,400.0
98,400,280.0
99,400,440.0
100,400,440.0
101,400,400.0
102,400,400.0
103,400,440.0
104,400,440.0
105,400,280.0
106,400,360.0
107,400,400.0
108,400,360.0
109,400,440.0
110,400,560.0
111,400,520.0
112,400,320.0
113,400,400.0
114,400,480.0
115,400,440.0
116,440,560.0
117,440,560.0
118,440,480.0
119,440,440.0
120,440,440.0
121,440,440.0
122,440,480.0
123,440,360.0
124,440,360.0
125,440,520.0
126,440,320.0
127,440,560.0
128,440,360.0
129,440,360.0
130,440,520.0
131,440,640.0
132,440,360.0
133,440,400.0
134,440,360.0
135,440,360.0
136,440,400.0
137,440,440.0
138,440,560.0
139,440,400.0
140,440,400.0
141,440,640.0
142,440,400.0
143,440,520.0
144,440,480.0
145,440,200.0
146,440,480.0
147,440,440.0
148,440,480.0
149,440,520.0
150,440,440.0
151,480,400.0
152,480,520.0
153,480,280.0
154,480,360.0
155,480,480.0
156,480,440.0
157,480,560.0
158,480,520.0
159,480,360.0
160,480,200.0
161,480,400.0
162,480,360.0
163,480,520.0
164,480,600.0
165,480,440.0
166,480,440.0
167,480,640.0
168,480,520.0
169,480,280.0
170,480,560.0
171,480,480.0
172,480,400.0
173,480,440.0
174,480,400.0
175,480,480.0
176,480,440.0
177,480,600.0
178,480,360.0
179,480,440.0
180,480,480.0
181,480,360.0
182,480,440.0
183,480,400.0
184,480,400.0
185,480,240.0
186,480,360.0
187,480,400.0
188,480,240.0
189,480,440.0
190,480,480.0
191,480,240.0
192,480,440.0
193,480,280.0
194,480,360.0
195,480,480.0
196,520,360.0
197,520,480.0
198,520,360.0
199,520,480.0
200,520,560.0
201,520,440.0
202,520,360.0
203,520,400.0
204,520,520.0
205,520,440.0
206,520,400.0
207,520,480.0
208,520,440.0
209,520,440.0
210,520,520.0
211,520,600.0
212,520,480.0
213,520,480.0
214,520,520.0
215,520,360.0
216,520,480.0
217,520,440.0
218,520,400.0
219,520,600.0
220,520,440.0
221,520,440.0
222,520,600.0
223,520,440.0
224,520,400.0
225,520,360.0
226,520,440.0
227,520,520.0
228,520,480.0
229,520,400.0
230,520,440.0
231,520,360.0
232,520,640.0
233,520,560.0
234,520,600.0
235,520,240.0
236,520,480.0
237,520,560.0
238,520,480.0
239,520,400.0
240,520,520.0
241,520,440.0
242,520,440.0
243,520,520.0
244,520,400.0
245,520,520.0
246,520,360.0
247,520,360.0
248,520,560.0
249,520,360.0
250,520,520.0
251,520,600.0
252,520,400.0
253,520,560.0
254,520,400.0
255,520,400.0
256,520,600.0
257,520,480.0
258,520,520.0
259,520,520.0
260,520,400.0
261,560,400.0
262,560,320.0
263,560,400.0
264,560,400.0
265,560,360.0
266,560,560.0
267,560,480.0
268,560,440.0
269,560,520.0
270,560,480.0
271,560,440.0
272,560,480.0
273,560,480.0
274,560,480.0
275,560,480.0
276,560,480.0
277,560,480.0
278,560,600.0
279,560,400.0
280,560,440.0
281,560,520.0
282,560,400.0
283,560,360.0
284,560,400.0
285,560,600.0
286,560,560.0
287,560,400.0
288,560,400.0
289,560,640.0
290,560,640.0
291,560,480.0
292,560,400.0
293,560,480.0
294,560,360.0
295,560,360.0
296,560,440.0
297,560,480.0
298,560,480.0
299,560,360.0
300,560,600.0
301,560,360.0
302,560,440.0
303,560,520.0
304,560,440.0
305,560,400.0
306,560,480.0
307,560,480.0
308,560,440.0
309,560,640.0
310,560,560.0
311,560,440.0
312,560,480.0
313,560,520.0
314,560,480.0
315,560,360.0
316,560,400.0
317,600,440.0
318,600,400.0
319,600,560.0
320,600,520.0
321,600,600.0
322,600,440.0
323,600,400.0
324,600,360.0
325,600,440.0
326,600,200.0
327,600,600.0
328,600,520.0
329,600,600.0
330,600,360.0
331,600,440.0
332,600,600.0
333,600,360.0
334,600,360.0
335,600,400.0
336,600,640.0
337,600,360.0
338,600,400.0
339,600,360.0
340,600,560.0
341,600,480.0
342,600,640.0
343,600,560.0
344,600,600.0
345,600,600.0
346,600,480.0
347,600,480.0
348,600,520.0
349,600,480.0
350,600,600.0
351,600,400.0
352,600,280.0
353,600,640.0
354,600,560.0
355,600,400.0
356,600,360.0
357,600,480.0
358,600,520.0
359,600,440.0
360,600,240.0
361,600,560.0
362,600,400.0
363,600,440.0
364,600,600.0
365,600,640.0
366,600,640.0
367,600,360.0
368,600,520.0
369,600,680.0
370,600,360.0
371,600,480.0
372,600,400.0
373,600,240.0
374,600,480.0
375,600,600.0
376,600,480.0
377,600,360.0
378,600,440.0
379,600,640.0
380,600,480.0
381,600,360.0
382,600,440.0
383,600,360.0
384,600,520.0
385,600,560.0
386,600,400.0
387,600,600.0
388,600,680.0
389,600,520.0
390,600,560.0
391,600,400.0
392,600,520.0
393,600,480.0
394,600,440.0
395,600,600.0
396,600,560.0
397,600,440.0
398,600,400.0
399,600,560.0
400,600,560.0
401,600,400.0
402,600,480.0
403,600,400.0
404,600,360.0
405,600,600.0
406,600,560.0
407,600,360.0
408,600,560.0
409,600,360.0
410,600,480.0
411,600,400.0
412,600,520.0
413,600,520.0
414,600,520.0
415,600,520.0
416,600,480.0
417,600,480.0
418,600,480.0
419,600,480.0
420,600,520.0
421,600,440.0
422,600,480.0
423,600,400.0
424,600,600.0
425,600,600.0
426,600,200.0
427,600,360.0
428,600,480.0
429,600,400.0
430,600,560.0
431,600,440.0
432,600,480.0
433,600,520.0
434,640,400.0
435,640,360.0
436,640,480.0
437,640,480.0
438,640,520.0
439,640,520.0
440,640,520.0
441,640,720.0
442,640,480.0
443,640,520.0
444,640,520.0
445,640,360.0
446,640,440.0
447,640,360.0
448,640,640.0
449,640,480.0
450,640,560.0
451,640,480.0
452,640,480.0
453,640,400.0
454,640,480.0
455,640,480.0
456,640,360.0
457,640,600.0
458,640,400.0
459,640,400.0
460,640,360.0
461,640,600.0
462,640,360.0
463,640,480.0
464,640,360.0
465,640,440.0
466,640,480.0
467,640,360.0
468,640,360.0
469,640,520.0
470,640,480.0
471,640,520.0
472,640,360.0
473,640,480.0
474,680,440.0
475,680,520.0
476,680,520.0
477,680,480.0
478,680,560.0
479,680,360.0
480,680,360.0
481,680,400.0
482,680,480.0
483,680,360.0
484,680,520.0
485,680,600.0
486,680,360.0
487,680,640.0
488,680,520.0
489,680,400.0
490,680,480.0
491,680,360.0
492,680,520.0
493,680,600.0
494,680,360.0
495,680,440.0
496,680,520.0
497,680,520.0
498,680,560.0
499,680,560.0
