index_redacao,score,pred_total
0,200,700
1,200,700
2,200,640
3,240,620
4,520,720
5,80,640
6,80,620
7,120,620
8,160,680
9,160,760
10,240,620
11,240,640
12,240,640
13,240,640
14,240,680
15,280,700
16,280,600
17,320,760
18,320,680
19,320,600
20,320,540
21,320,600
22,320,620
23,320,720
24,320,720
25,320,640
26,360,620
27,360,640
28,400,680
29,400,660
30,400,720
31,400,640
32,400,620
33,400,720
34,400,620
35,400,520
36,400,620
37,400,620
38,400,640
39,400,760
40,400,700
41,400,680
42,400,540
43,400,660
44,400,600
45,400,580
46,400,800
47,400,680
48,400,520
49,400,600
50,400,680
51,440,800
52,440,640
53,440,640
54,440,640
55,440,760
56,440,700
57,440,760
58,480,760
59,480,620
60,480,700
61,480,720
62,480,620
63,480,700
64,480,660
65,480,660
66,520,620
67,520,700
68,520,680
69,520,700
70,520,680
71,520,480
72,520,760
73,560,540
74,560,680
75,560,480
76,560,620
77,600,740
78,600,720
79,680,700
80,680,760
81,200,540
82,200,560
83,240,540
84,240,780
85,240,700
86,280,640
87,280,660
88,360,640
89,360,620
90,360,700
91,360,640
92,360,760
93,360,680
94,360,700
95,360,660
96,360,760
97,400,640
98,400,660
99,400,800
100,400,720
101,400,620
102,400,640
103,400,700
104,400,680
105,400,300
106,400,620
107,400,640
108,400,620
109,400,640
110,400,700
111,400,680
112,400,660
113,400,620
114,400,640
115,400,660
116,440,620
117,440,700
118,440,680
119,440,720
120,440,560
121,440,760
122,440,620
123,440,720
124,440,640
125,440,680
126,440,560
127,440,700
128,440,600
129,440,620
130,440,620
131,440,760
132,440,620
133,440,680
134,440,500
135,440,700
136,440,620
137,440,720
138,440,620
139,440,760
140,440,700
141,440,760
142,440,660
143,440,660
144,440,660
145,440,720
146,440,620
147,440,620
148,440,700
149,440,760
150,440,800
151,480,740
152,480,760
153,480,640
154,480,680
155,480,660
156,480,640
157,480,760
158,480,800
159,480,660
160,480,640
161,480,700
162,480,640
163,480,760
164,480,760
165,480,720
166,480,680
167,480,760
168,480,700
169,480,640
170,480,660
171,480,760
172,480,640
173,480,700
174,480,700
175,480,640
176,480,620
177,480,720
178,480,700
179,480,680
180,480,680
181,480,680
182,480,740
183,480,640
184,480,700
185,480,660
186,480,520
187,480,660
188,480,640
189,480,640
190,480,660
191,480,700
192,480,760
193,480,620
194,480,760
195,480,750
196,520,540
197,520,740
198,520,760
199,520,620
200,520,700
201,520,720
202,520,540
203,520,760
204,520,700
205,520,760
206,520,760
207,520,760
208,520,680
209,520,700
210,520,800
211,520,720
212,520,640
213,520,700
214,520,680
215,520,680
216,520,680
217,520,680
218,520,640
219,520,760
220,520,700
221,520,760
222,520,760
223,520,720
224,520,720
225,520,700
226,520,720
227,520,700
228,520,700
229,520,760
230,520,680
231,520,620
232,520,740
233,520,620
234,520,680
235,520,680
236,520,720
237,520,720
