index_redacao,score,pred_total
0,200,360
1,200,640
2,200,640
3,240,640
4,520,640
5,80,640
6,80,640
7,120,440
8,160,640
9,160,640
10,240,640
11,240,640
12,240,60
13,240,360
14,240,360
15,280,640
16,280,640
17,320,640
18,320,640
19,320,640
20,320,640
21,320,640
22,320,640
23,320,640
24,320,360
25,320,640
26,360,640
27,360,640
28,400,640
29,400,280
30,400,640
31,400,640
32,400,440
33,400,640
34,400,640
35,400,280
36,400,640
37,400,360
38,400,640
39,400,640
40,400,640
41,400,640
42,400,640
43,400,640
44,400,640
45,400,640
46,400,640
47,400,440
48,400,640
49,400,640
50,400,640
51,440,640
52,440,640
53,440,440
54,440,640
55,440,640
56,440,80
57,440,440
58,480,640
59,480,640
60,480,640
61,480,640
62,480,640
63,480,640
64,480,640
65,480,80
66,520,640
67,520,640
68,520,640
69,520,640
70,520,280
71,520,640
72,520,640
73,560,280
74,560,640
75,560,80
76,560,360
77,600,640
78,600,360
79,680,640
80,680,640
81,200,640
82,200,360
83,240,360
84,240,80
85,240,640
86,280,640
87,280,640
88,360,640
89,360,640
90,360,640
91,360,640
92,360,640
93,360,640
94,360,640
95,360,640
96,360,640
97,400,640
98,400,80
99,400,640
100,400,640
101,400,640
102,400,680
103,400,80
104,400,360
105,400,640
106,400,640
107,400,280
108,400,640
109,400,640
110,400,640
111,400,640
112,400,320
113,400,280
114,400,640
115,400,640
116,440,640
117,440,640
118,440,640
119,440,80
120,440,80
121,440,640
122,440,640
123,440,640
124,440,640
125,440,640
126,440,640
127,440,640
128,440,640
129,440,440
130,440,640
131,440,640
132,440,280
133,440,640
134,440,640
135,440,640
136,440,80
137,440,640
138,440,640
139,440,640
140,440,640
141,440,640
142,440,80
143,440,640
144,440,640
145,440,640
146,440,640
147,440,640
148,440,640
149,440,640
150,440,640
151,480,640
152,480,640
153,480,640
154,480,640
155,480,640
156,480,360
157,480,640
158,480,640
159,480,640
160,480,480
161,480,360
162,480,640
163,480,640
164,480,640
165,480,640
166,480,640
167,480,640
168,480,360
169,480,640
170,480,640
171,480,640
172,480,640
173,480,360
174,480,640
175,480,640
176,480,640
177,480,640
178,480,680
179,480,640
180,480,80
181,480,360
182,480,640
183,480,640
184,480,640
185,480,360
186,480,280
187,480,640
188,480,640
189,480,640
190,480,640
191,480,640
192,480,640
193,480,360
194,480,640
195,480,640
196,520,640
197,520,440
198,520,640
199,520,640
200,520,640
201,520,640
202,520,640
203,520,640
204,520,640
205,520,640
206,520,640
207,520,640
208,520,640
209,520,640
210,520,640
211,520,640
212,520,440
213,520,640
214,520,640
215,520,360
216,520,640
217,520,640
218,520,640
219,520,640
220,520,640
221,520,640
222,520,640
223,520,80
224,520,640
225,520,640
226,520,640
227,520,640
228,520,640
229,520,640
230,520,640
231,520,360
232,520,640
233,520,640
234,520,640
235,520,640
236,520,640
237,520,360
238,520,640
239,520,640
240,520,320
241,520,640
242,520,640
243,520,640
244,520,360
245,520,640
246,520,360
247,520,280
248,520,640
249,520,520
250,520,680
251,520,640
252,520,640
253,520,640
254,520,640
255,520,80
256,520,640
257,520,640
258,520,640
259,520,360
260,520,640
261,560,640
262,560,640
263,560,360
264,560,640
265,560,280
266,560,640
267,560,640
268,560,360
269,560,640
270,560,640
271,560,640
272,560,280
273,560,640
274,560,640
275,560,640
276,560,640
277,560,640
278,560,640
279,560,640
280,560,80
281,560,640
282,560,640
283,560,640
284,560,640
285,560,360
286,560,640
287,560,640
288,560,640
289,560,640
290,560,640
291,560,360
292,560,640
293,560,640
294,560,640
295,560,640
296,560,640
297,560,640
298,560,280
299,560,360
300,560,640
301,560,640
302,560,280
303,560,640
304,560,400
305,560,640
306,560,640
307,560,640
308,560,640
309,560,640
310,560,640
311,560,640
312,560,640
313,560,640
314,560,640
315,560,640
316,560,640
317,600,640
318,600,640
319,600,640
320,600,360
321,600,640
322,600,640
323,600,640
324,600,640
325,600,640
326,600,640
327,600,640
328,600,640
329,600,640
330,600,360
331,600,640
332,600,280
333,600,640
334,600,640
335,600,640
336,600,640
337,600,640
338,600,640
339,600,640
340,600,640
341,600,640
342,600,640
343,600,360
344,600,640
345,600,640
346,600,640
347,600,640
348,600,640
349,600,640
350,600,640
351,600,640
352,600,640
353,600,640
354,600,640
355,600,640
356,600,360
357,600,640
358,600,640
359,600,640
360,600,640
361,600,640
362,600,440
363,600,640
364,600,640
365,600,640
366,600,640
367,600,640
368,600,640
369,600,640
370,600,640
371,600,640
372,600,640
373,600,640
374,600,640
375,600,640
376,600,640
377,600,640
378,600,640
379,600,640
380,600,640
381,600,640
382,600,640
383,600,280
384,600,640
385,600,640
386,600,640
387,600,640
388,600,640
389,600,640
390,600,640
391,600,640
392,600,640
393,600,640
394,600,280
395,600,640
396,600,640
397,600,640
398,600,640
399,600,640
400,600,640
401,600,640
402,600,640
403,600,640
404,600,640
405,600,640
406,600,640
407,600,640
408,600,640
409,600,640
410,600,640
411,600,640
412,600,440
413,600,640
414,600,640
415,600,640
416,600,640
417,600,640
418,600,640
419,600,640
420,600,360
421,600,640
422,600,640
423,600,640
424,600,360
425,600,680
426,600,640
427,600,640
428,600,640
429,600,640
430,600,640
431,600,640
432,600,640
433,600,640
434,640,640
435,640,640
436,640,640
437,640,640
438,640,640
439,640,320
440,640,640
441,640,640
442,640,640
443,640,360
444,640,640
445,640,640
446,640,360
447,640,640
448,640,640
449,640,640
450,640,360
451,640,640
452,640,360
453,640,680
454,640,640
455,640,640
456,640,640
457,640,640
458,640,640
459,640,640
460,640,320
461,640,640
462,640,640
463,640,640
464,640,360
465,640,640
466,640,640
467,640,640
468,640,640
469,640,680
470,640,640
471,640,640
472,640,640
473,640,640
474,680,640
475,680,640
476,680,640
477,680,640
478,680,640
479,680,640
480,680,640
481,680,640
482,680,640
483,680,280
484,680,640
485,680,640
486,680,640
487,680,640
488,680,640
489,680,640
490,680,640
491,680,640
492,680,640
493,680,640
494,680,640
495,680,640
496,680,640
497,680,640
498,680,640
499,680,640
500,680,440
501,680,640
502,680,640
503,680,640
504,680,640
505,680,640
506,680,640
507,680,640
508,680,640
509,680,680
510,680,640
511,680,360
512,680,640
513,680,640
514,680,640
515,680,640
516,680,640
517,680,440
518,680,640
519,680,640
520,680,640
521,680,640
522,680,360
523,680,640
524,680,640
525,680,640
526,680,640
527,680,640
528,680,640
529,680,640
530,680,640
531,680,640
532,680,640
533,720,640
534,720,640
535,720,640
536,720,640
537,720,640
538,720,640
539,720,640
540,720,640
541,720,640
542,720,640
543,720,440
544,720,640
545,720,640
546,720,360
547,720,640
548,720,640
549,720,640
550,720,640
551,720,640
552,720,640
553,720,640
554,720,640
555,720,640
556,720,640
557,720,640
558,720,640
559,720,640
560,720,640
561,760,640
562,760,640
563,760,640
564,760,640
565,760,640
566,760,640
567,760,640
568,760,640
569,760,640
570,760,640
571,760,640
572,760,640
573,800,640
574,800,640
575,800,640
576,800,640
577,800,640
578,800,640
579,800,640
580,800,640
581,800,640
582,800,640
583,800,640
584,800,640
585,800,640
586,840,640
587,840,640
588,840,640
589,840,640
590,840,640
591,840,640
592,840,640
593,840,640
594,880,640
595,880,640
596,320,640
597,440,640
598,480,640
599,480,640
600,520,640
601,520,360
602,520,640
603,560,640
604,560,640
605,560,640
606,560,640
607,560,640
608,560,640
609,560,440
610,600,640
611,600,640
612,600,640
613,600,640
614,640,640
615,640,640
616,640,640
617,640,640
618,640,640
619,640,640
620,640,280
621,640,640
622,640,640
623,640,640
624,640,640
625,640,640
626,640,640
