index_redacao,score,pred_total
0,200,560
1,200,440
2,200,520
3,240,440
4,520,400
5,80,600
6,80,440
7,120,560
8,160,480
9,160,480
10,240,560
11,240,600
12,240,240
13,240,560
14,240,560
15,280,480
16,280,160
17,320,240
18,320,560
19,320,560
20,320,560
21,320,600
22,320,600
23,320,480
24,320,600
25,320,400
26,360,600
27,360,200
28,400,560
29,400,180
30,400,600
31,400,560
32,400,400
33,400,480
34,400,520
35,400,560
36,400,160
37,400,480
38,400,180
39,400,600
40,400,440
41,400,440
42,400,240
43,400,600
44,400,200
45,400,600
46,400,480
47,400,440
48,400,360
49,400,160
50,400,560
51,440,600
52,440,600
53,440,520
54,440,560
55,440,600
56,440,200
57,440,700
58,480,600
59,480,160
60,480,400
61,480,600
62,480,560
63,480,240
64,480,600
65,480,280
66,520,440
67,520,600
68,520,440
69,520,480
70,520,400
71,520,200
72,520,600
73,560,600
74,560,560
75,560,160
76,560,520
77,600,600
78,600,160
79,680,600
80,680,480
81,200,160
82,200,560
83,240,100
84,240,440
85,240,160
86,280,560
87,280,600
88,360,600
89,360,560
90,360,600
91,360,440
92,360,600
93,360,560
94,360,560
95,360,160
96,360,440
97,400,560
98,400,240
99,400,440
100,400,560
101,400,560
102,400,600
103,400,480
104,400,560
105,400,120
106,400,160
107,400,440
108,400,440
109,400,640
110,400,600
111,400,520
112,400,560
113,400,440
114,400,440
115,400,480
116,440,600
117,440,560
118,440,440
119,440,560
120,440,160
121,440,360
122,440,560
123,440,160
124,440,560
125,440,600
126,440,160
127,440,600
128,440,160
129,440,440
130,440,400
131,440,600
132,440,280
133,440,440
134,440,600
135,440,600
136,440,360
137,440,440
138,440,600
139,440,440
140,440,560
141,440,600
142,440,280
143,440,600
144,440,480
145,440,440
146,440,600
147,440,520
148,440,480
149,440,600
150,440,560
151,480,240
152,480,560
153,480,160
154,480,600
155,480,600
156,480,440
157,480,440
158,480,600
159,480,160
160,480,160
161,480,560
162,480,600
163,480,560
164,480,720
165,480,440
166,480,600
167,480,480
168,480,160
169,480,160
170,480,560
171,480,600
172,480,360
173,480,480
174,480,440
175,480,600
176,480,440
177,480,560
178,480,560
179,480,560
180,480,440
181,480,160
182,480,480
183,480,560
184,480,560
185,480,160
186,480,200
187,480,560
188,480,440
189,480,440
190,480,200
191,480,160
192,480,560
193,480,600
194,480,600
195,480,240
196,520,400
197,520,160
198,520,600
199,520,600
200,520,400
201,520,480
202,520,560
203,520,480
204,520,600
205,520,600
206,520,560
207,520,600
208,520,160
209,520,560
210,520,560
211,520,600
212,520,440
213,520,440
214,520,600
215,520,440
216,520,600
217,520,400
218,520,440
219,520,600
220,520,480
221,520,400
222,520,600
223,520,400
224,520,600
225,520,560
226,520,560
227,520,440
228,520,600
229,520,600
230,520,600
231,520,400
232,520,560
233,520,560
234,520,440
235,520,160
236,520,600
237,520,600
238,520,560
239,520,600
240,520,600
241,520,560
242,520,440
243,520,600
244,520,520
245,520,440
246,520,560
247,520,160
248,520,560
249,520,400
250,520,480
251,520,600
252,520,400
253,520,600
254,520,400
255,520,440
256,520,600
257,520,600
258,520,600
259,520,520
260,520,600
261,560,600
262,560,600
263,560,280
264,560,400
265,560,440
266,560,560
267,560,440
268,560,440
269,560,600
270,560,200
271,560,440
272,560,600
273,560,600
274,560,600
275,560,600
276,560,440
277,560,560
278,560,560
279,560,600
280,560,160
281,560,600
282,560,120
283,560,600
284,560,560
285,560,600
286,560,600
287,560,560
288,560,400
289,560,560
290,560,600
291,560,480
292,560,440
293,560,560
294,560,440
295,560,600
296,560,600
297,560,600
298,560,200
299,560,200
300,560,440
301,560,480
302,560,600
303,560,400
304,560,400
305,560,560
306,560,600
307,560,600
308,560,600
309,560,600
310,560,240
311,560,400
312,560,560
313,560,480
314,560,560
315,560,240
316,560,480
317,600,520
318,600,600
319,600,600
320,600,560
321,600,600
322,600,600
323,600,160
324,600,600
325,600,600
326,600,520
327,600,600
328,600,600
329,600,600
330,600,360
331,600,600
332,600,560
333,600,400
334,600,600
335,600,560
336,600,600
337,600,440
338,600,600
339,600,400
340,600,600
341,600,600
342,600,560
343,600,600
344,600,560
345,600,600
346,600,440
347,600,400
348,600,560
349,600,600
350,600,600
351,600,600
352,600,440
353,600,600
354,600,600
355,600,600
356,600,400
357,600,400
358,600,600
359,600,440
360,600,200
361,600,560
362,600,520
363,600,280
364,600,640
365,600,600
366,600,600
367,600,480
368,600,600
369,600,700
370,600,440
371,600,600
372,600,440
373,600,240
374,600,160
375,600,520
376,600,440
377,600,440
378,600,600
379,600,600
380,600,440
381,600,400
382,600,160
383,600,600
384,600,600
385,600,440
386,600,280
387,600,560
388,600,600
389,600,400
390,600,600
391,600,80
392,600,600
393,600,560
394,600,520
395,600,560
396,600,560
397,600,560
398,600,480
399,600,600
400,600,600
401,600,400
402,600,600
403,600,600
404,600,440
405,600,600
406,600,600
407,600,400
408,600,600
409,600,440
410,600,400
411,600,400
412,600,160
413,600,600
414,600,600
415,600,600
416,600,600
417,600,600
418,600,440
419,600,600
420,600,520
421,600,560
422,600,440
423,600,600
424,600,600
425,600,560
426,600,160
427,600,560
428,600,440
429,600,400
430,600,560
431,600,560
432,600,600
433,600,600
434,640,560
435,640,560
436,640,400
437,640,600
438,640,600
439,640,600
440,640,560
441,640,600
442,640,600
443,640,440
444,640,440
445,640,600
446,640,560
447,640,400
448,640,560
449,640,400
450,640,560
451,640,600
452,640,520
453,640,600
454,640,600
455,640,600
456,640,560
457,640,480
458,640,440
459,640,440
460,640,440
461,640,560
462,640,400
463,640,600
464,640,300
465,640,600
466,640,600
467,640,600
468,640,400
469,640,560
470,640,600
471,640,600
472,640,480
473,640,280
474,680,600
475,680,600
476,680,600
477,680,600
478,680,600
479,680,600
480,680,480
481,680,600
482,680,600
483,680,240
484,680,600
485,680,600
486,680,600
487,680,280
488,680,600
489,680,480
490,680,560
491,680,600
492,680,600
493,680,600
494,680,560
495,680,560
496,680,520
497,680,560
498,680,600
499,680,440
500,680,560
501,680,600
502,680,600
503,680,600
504,680,600
505,680,600
506,680,600
507,680,600
508,680,600
509,680,360
510,680,200
511,680,400
512,680,440
513,680,400
514,680,520
515,680,560
516,680,600
517,680,440
518,680,400
519,680,600
520,680,600
521,680,600
522,680,600
523,680,400
524,680,600
525,680,600
526,680,440
527,680,600
528,680,200
529,680,560
530,680,600
531,680,600
532,680,600
533,720,600
534,720,600
535,720,600
536,720,600
537,720,160
538,720,600
539,720,600
540,720,600
541,720,560
542,720,600
543,720,560
544,720,600
545,720,600
546,720,600
547,720,600
548,720,600
549,720,600
550,720,600
551,720,600
552,720,600
553,720,600
554,720,600
555,720,600
556,720,440
557,720,600
558,720,400
559,720,600
560,720,600
561,760,600
562,760,600
563,760,600
564,760,560
565,760,440
566,760,600
567,760,440
568,760,520
569,760,600
570,760,480
571,760,560
572,760,600
573,800,600
574,800,600
575,800,280
576,800,280
577,800,600
578,800,600
579,800,560
580,800,240
581,800,600
582,800,440
583,800,560
584,800,600
585,800,440
