index_redacao,prompt
0,13
1,82
2,78
3,10
4,14
5,7
6,33
7,77
8,29
9,17
10,33
11,36
12,29
13,23
14,55
15,52
16,77
17,25
18,5
19,25
20,12
21,14
22,19
23,55
24,78
25,73
26,35
27,10
28,35
29,39
30,21
31,37
32,4
33,13
34,12
35,42
36,1
37,21
38,4
39,75
40,82
41,78
42,78
43,78
44,78
45,78
46,82
47,52
48,78
49,74
50,78
51,37
52,30
53,41
54,0
55,81
56,47
57,78
58,8
59,26
60,24
61,22
62,5
63,78
64,78
65,78
66,26
67,8
68,78
69,78
70,78
71,85
72,82
73,78
74,78
75,48
76,78
77,82
78,48
79,83
80,83
81,25
82,39
83,64
84,71
85,65
86,19
87,68
88,53
89,52
90,76
91,52
92,58
93,48
94,52
95,53
96,68
97,42
98,59
99,54
100,62
101,75
102,56
103,49
104,72
105,65
106,51
107,75
108,60
109,73
110,57
111,82
112,69
113,75
114,54
115,46
116,34
117,24
118,18
119,16
120,11
121,29
122,36
123,50
124,76
125,52
126,66
127,52
128,50
129,51
130,53
131,57
132,66
133,52
134,66
135,55
136,62
137,57
138,70
139,51
140,68
141,74
142,73
143,56
144,63
145,55
146,52
147,52
148,52
149,58
150,51
151,12
152,20
153,13
154,34
155,55
156,82
157,72
158,76
159,52
160,43
161,63
162,49
163,71
164,56
165,52
166,57
167,58
168,57
169,51
170,54
171,52
172,74
173,74
174,55
175,62
176,55
177,57
178,60
179,52
180,52
181,52
182,51
183,70
184,54
185,59
186,54
187,62
188,45
189,70
190,54
191,43
192,61
193,60
194,75
195,58
196,28
197,30
198,17
199,27
200,33
201,18
202,41
203,15
204,3
205,9
206,19
207,26
208,23
209,56
210,73
211,77
212,52
213,62
214,58
215,54
216,52
217,54
218,47
219,74
220,58
221,70
222,80
223,52
224,54
225,70
226,51
227,53
228,54
229,70
230,57
231,52
232,64
233,58
234,64
235,55
236,52
237,65
238,54
239,81
240,58
241,56
242,55
243,56
244,59
245,54
246,74
247,62
248,55
249,62
250,58
251,52
252,51
253,52
254,55
255,59
256,55
257,60
258,62
259,54
260,61
261,32
262,27
263,5
264,4
265,12
266,33
267,6
268,72
269,52
270,69
271,70
272,58
273,68
274,59
275,56
276,52
277,50
278,81
279,73
280,70
281,59
282,80
283,59
284,46
285,59
286,58
287,60
288,58
289,58
290,55
291,59
292,73
293,65
294,65
295,76
296,76
297,55
298,76
299,78
300,80
301,69
302,70
303,58
304,72
305,50
306,55
307,56
308,76
309,64
310,51
311,60
312,72
313,74
314,59
315,73
316,52
317,40
318,15
319,19
320,30
321,32
322,17
323,11
324,28
325,0
326,28
327,58
328,47
329,82
330,81
331,54
332,74
333,78
334,49
335,70
336,76
337,78
338,73
339,62
340,60
341,71
342,73
343,73
344,82
345,70
346,78
347,63
348,51
349,82
350,56
351,49
352,46
353,80
354,68
355,76
356,70
357,75
358,70
359,64
360,60
361,73
362,82
363,51
364,71
365,59
366,73
367,60
368,62
369,71
370,60
371,49
372,75
373,85
374,49
375,75
376,51
377,71
378,63
379,63
380,70
381,77
382,58
383,51
384,74
385,81
386,77
387,70
388,54
389,79
390,60
391,75
392,55
393,76
394,70
395,75
396,54
397,49
398,68
399,76
400,62
401,72
402,71
403,71
404,69
405,56
406,62
407,59
408,73
409,56
410,50
411,64
412,77
413,54
414,58
415,75
416,79
417,68
418,49
419,78
420,60
421,63
422,63
423,73
424,74
425,79
426,50
427,82
428,71
429,58
430,54
431,72
432,60
433,76
434,39
435,15
436,3
437,62
438,71
439,54
440,55
441,54
442,62
443,73
444,65
445,74
446,62
447,79
448,50
449,81
450,52
451,56
452,59
453,56
454,64
455,71
456,71
457,69
458,44
459,51
460,71
461,81
462,66
463,51
464,71
465,63
466,48
467,58
468,81
469,55
470,54
471,68
472,50
473,84
474,18
475,41
476,4
477,76
478,59
479,72
480,74
481,56
482,70
483,49
484,56
485,72
486,67
487,58
488,70
489,84
490,84
491,45
492,49
493,71
494,63
495,71
496,69
497,51
498,63
499,73
500,70
501,68
502,68
503,59
504,58
505,70
506,48
507,73
508,49
509,84
510,63
511,62
512,62
513,60
514,69
515,58
516,57
517,51
518,84
519,49
520,49
521,68
522,60
523,84
524,49
525,56
526,49
527,55
528,69
529,72
530,51
531,50
532,52
533,3
534,85
535,72
536,83
537,84
538,85
539,56
540,64
541,79
542,72
543,56
544,56
545,83
546,64
547,63
548,51
549,74
550,47
551,83
552,83
553,58
554,82
555,79
556,72
557,82
558,84
559,74
560,65
561,40
562,83
563,64
564,83
565,84
566,81
567,83
568,84
569,83
570,44
571,83
572,44
573,45
574,83
575,44
576,83
577,83
578,85
579,84
580,84
581,83
582,85
583,84
584,85
585,84
586,83
587,84
588,84
589,83
590,85
591,84
592,83
593,83
594,83
595,84
596,9
597,50
598,14
599,45
600,24
601,48
602,47
603,25
604,14
605,9
606,9
607,48
608,44
609,44
610,20
611,45
612,47
613,44
614,19
615,11
616,29
617,45
618,49
619,76
620,50
621,84
622,79
623,45
624,47
625,46
626,55
627,49
628,74
629,50
630,50
631,28
632,17
633,0
634,34
635,48
636,81
637,47
638,50
639,48
640,77
641,84
642,43
643,50
644,49
645,46
646,51
647,50
648,66
649,48
650,48
651,46
652,43
653,84
654,48
655,47
656,49
657,45
658,59
659,79
660,52
661,43
662,45
663,49
664,76
665,46
666,80
667,8
668,18
669,10
670,6
671,74
672,49
673,49
674,43
675,49
676,50
677,50
678,48
679,48
680,49
681,51
682,79
683,48
684,63
685,43
686,48
687,49
688,60
689,85
690,48
691,84
692,84
693,66
694,81
695,44
696,49
697,46
698,81
699,50
700,50
701,50
702,50
703,82
704,51
705,45
706,46
707,50
708,43
709,45
710,43
711,80
712,49
713,50
714,63
715,49
716,84
717,46
718,2
719,16
720,3
721,6
722,82
723,45
724,45
725,43
726,51
727,43
728,43
729,51
730,50
731,83
732,83
733,73
734,48
735,45
736,82
737,50
738,84
739,71
740,80
741,50
742,62
743,79
744,76
745,45
746,75
747,59
748,43
749,48
750,48
751,44
752,49
753,81
754,73
755,47
756,44
757,44
758,74
759,30
760,79
761,81
762,82
763,44
764,79
765,45
766,82
767,48
768,50
769,76
770,85
771,76
772,48
773,48
774,82
775,55
776,43
777,43
778,63
779,50
780,83
781,79
782,82
783,46
784,78
785,83
786,82
787,79
788,45
789,50
790,45
791,43
792,82
793,43
794,84
795,79
796,43
797,68
798,58
799,47
800,44
801,43
802,46
803,46
804,51
805,46
806,83
807,79
808,83
809,5
810,40
811,81
812,47
813,81
814,46
815,48
816,48
817,43
